		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
26/11/2023											1,860	4	100	173		177		Weekend	178		Weekend	177	177			
27/11/2023											1,957	460	100	416		506		Case closed	437		Case closed	413	430			
28/11/2023											1,835	458	100	466		506										
29/11/2023											1,747	427	100	442		506										
30/11/2023											1,665	462	100	484		506										
1/12/2023											1,539	378	100	417		529	480 target case closure									
2/12/2023											1,577	0	100	265		190										
3/12/2023											1,842	3	100	199		190										
4/12/2023											2,001	522	100	514		529		New cases	485							
5/12/2023											1,864	483	100	480		529		Weekend	222							
6/12/2023											1,744	502	100	471		529		Case closed	498							
7/12/2023											1,589	543	100	488		529										
8/12/2023											1,471	439	100	471		529										
9/12/2023											1,503		100	225		190										
10/12/2023											1,728		100	200		190										
11/12/2023											1,818	485	100	537		529										
12/12/2023											1,746	451	100	448		529										
13/12/2023											1,683	411	100	431		529										
14/12/2023											1,642	449	100	458		529										
15/12/2023											1,553	438	100	403		529			456							
16/12/2023											1,518	3	100	269		190										
17/12/2023											1,784	11	100	210		190										
18/12/2023											1,875	354	100	523		529										
19/12/2023											1,961	503	100	490		529						1758				
20/12/2023											1,855	421	100	450		529						2212				
21/12/2023											1,783	452	100	446		529										
22/12/2023											1,751	468	100	420		529										
23/12/2023											1,603	0	100	207		190										
24/12/2023											1,896	0	100	148		190										
25/12/2023											1,910	7	100	163		190										
26/12/2023											2,059	528	100	507		529	480 case closed forecast									
27/12/2023											1,851	440	100	514		529										
28/12/2023											1,831	447	100	498		529										
29/12/2023											1,780	426	100	401		529										
30/12/2023											1,755		100	232		190										
31/12/2023											1,987		100	186		190										
1/1/2024											2,173	3	100	406	2024	190										
2/1/2024											2,524	488	100	733		627	580 cases to be closed daily									
3/1/2024											2,619	529	100	615		627	Avg case closed based on last week's rate 460									
4/1/2024											2,599	575	100	710		627										
5/1/2024											2,602	441	100	507		627										
6/1/2024											2,668		100	294		235	580									
7/1/2024											2,899		100	305		235			530		618					
8/1/2024											3,048	747	100	566		627			460		530					
9/1/2024											2,700	676	100	536		627										
10/1/2024											2,475	565	100	508		627										
11/1/2024											2,299	659	100	471		627										
12/1/2024											2,050	510	100	508		627			627 (forecast)	680 (Target)						
13/1/2024											2,048		100	260		235										
14/1/2024											2,308	4	100	222		235			new cases	cases closed						
15/1/2024											2,470	530	100	541		627		last week's average 	518	631						
16/1/2024											2,286	569	100	594		627		Weekend	241							
17/1/2024											2,158	554	100	556		627		Open bal 22/1 	2143							
18/1/2024											1,980	589	100	504		627		current avg	578	577						
19/1/2024											1,797	440	100	445		627		Weekend	271							
20/1/2024											1,802		100	224		235		Open bal 22/1 								
21/1/2024											2,026	5	100	223		235										
22/1/2024											2,153	566	100	565		627										
23/1/2024											2,002	491	100	475		627										
24/1/2024											1,790	448	100	502		627										
25/1/2024											1,771	473	100	471		627		week to date  avg	503							
26/1/2024											1,666	365	100	412		627		week to date closure	494							
27/1/2024											1,713		100	260		235		weekly weekend avg  	224							
28/1/2024											1,973		100	214		235		month to date avg	255							
29/1/2024											2,106	434	100	490		627										
30/1/2024											1,966	456	100	474		627		Avg MTD  531								
31/1/2024											1,899	479	100	468		627		Avg weekend 267								
1/2/2024											1,752	508		418		636		MTD avg case closed 537								
2/2/2024											1,550	389		406		636										
3/2/2024											1,567	2		181		265										
4/2/2024											1,746	13		208		265										
5/2/2024											1,809	435		522		636										
6/2/2024											1,807	420		459		636		453 last wk's avg closure								
7/2/2024											1,676	391		392		636		451 new cases								
8/2/2024											1,521	442		373		636		194 wkend new cases								
9/2/2024											1,284	292		215		CNY half day										
10/2/2024											1,207			92		265	open bal 2692									
11/2/2024											1,299			118		265										
12/2/2024											1,417	2		195		265										
13/2/2024											1,604	483		352		636										
14/2/2024											1,334	439		431		636										
15/2/2024											1,329	330		451		636										
16/2/2024											1,379	339		460		636						433				
17/2/2024											1,500			311		265										
18/2/2024											1,811			272		265		265								
19/2/2024											2,023	413		727		636		527								
20/2/2024											2,199	462		614		636										
21/2/2024											2,184	412		597		636										
22/2/2024											2,242	653		571		636										
23/2/2024											2,106	388		430		636										
24/2/2024											2,148			257		265										
25/2/2024											2,405			295		265										
26/2/2024											2,622	542		674		636										
27/2/2024											2,638	544		611		636										
28/2/2024											2,597	555		544		636										
29/2/2024											2,404	493		514		636										
1/3/2024											2,418	515		491		576										
2/3/2024											2,394			260		226										
3/3/2024											2,654	8		242		226										
4/3/2024											2,782	445		603												
5/3/2024											2,848	590		642		620										
6/3/2024											2,744	480		669												
7/3/2024											2,844	472		567												
8/3/2024											2,778	511		463												
9/3/2024											2,730	20		245		246										
10/3/2024											2,955	2		264												
11/3/2024											3,020	480		535												
12/3/2024											2,930	402		490												
13/3/2024											2,821	592		457												
14/3/2024											2,584	561		402												
15/3/2024											2,298	480		456												
16/3/2024											2,486	6		234												
17/3/2024											2,714			224												
18/3/2024											2,950	523		482												
19/3/2024											2,786	465		490												
20/3/2024											2,737	410		390												
21/3/2024											2,521	429		428												
22/3/2024											2,499	432		406		332 (case closure)										
23/3/2024											2,473	11		211												
24/3/2024											2,673			214												
25/3/2024											2,737	466		445		489										
26/3/2024											2,508	497		435												
27/3/2024											2,242	360		462												
28/3/2024											2,267	401		363												
29/3/2024											2,229	59		232												
30/3/2024											2,402	43		197												
31/3/2024											2,556	4		198												
1/4/2024											2,580	500		487		494										
2/4/2024											2,351	369		565												
3/4/2024											2,463	473		449												
4/4/2024											2,213	386		373												
5/4/2024											2,349	394		342												
6/4/2024											2,297	14		233		190										
7/4/2024											2,516	5		216												
8/4/2024											2,318	455		464												
9/4/2024											2,186	411		418												
10/4/2024											2,193	33		224												
11/4/2024											2,224	444		369												
12/4/2024											2,044	340		403												
13/4/2024											2,107			204												
14/4/2024											2,311	2		218												
15/4/2024											2,431	425		440												
16/4/2024											2,291	352		400												
17/4/2024											2,211	385		379												
18/4/2024											2,048	363		450												
19/4/2024											1,927	450		345												
20/4/2024											1,822	1		200												
21/4/2024											2,021			170												
22/4/2024											2,163	410		406												
23/4/2024											2,039	369		393												
24/4/2024											1,929	390		401												
25/4/2024											1,813	370		375												
26/4/2024											1,725	392		409												
27/4/2024											1,742			199												
28/4/2024											1,941	1		187												
29/4/2024											2,016	426		414												
30/4/2024											1,861	368		398												
1/5/2024											1,891	0		260												
2/5/2024											2,099	355		414												
3/5/2024											2,070	362		348												
4/5/2024											2,056	3		176												
5/5/2024											2,229			203												
6/5/2024											2,258	442		497												
7/5/2024											2,164	263		449												
8/5/2024											2,243	401		443												
9/5/2024											2,185	426		374												
10/5/2024											1,980	410		344												
11/5/2024											1,914			187												
12/5/2024											2,101			186												
13/5/2024											2,141	465		372			May 2024 Forecast: Using past 2 weeks figures									
14/5/2024											1,948	331		310												
15/5/2024											1,861	294		532			2023 May:		2024 May:							
16/5/2024											1,951	396		427			453 cases closed/wd		384 cases closed/wd							
17/5/2024											1,831	417		338			472 new cases/wd		409 new cases/wd							
18/5/2024											1,752			161			212 new cases/nwd		202 new cases/nwd							
19/5/2024											1,910			154												
20/5/2024											1,959	488		339												
21/5/2024											1,681	349		348												
22/5/2024											1,680	28		252												
23/5/2024											1,847	381		355												
24/5/2024											1,696	382		307												
25/5/2024											1,621			138												
26/5/2024											1,759	2		133												
27/5/2024											1,781	386		438												
28/5/2024											1,717	323		447												
29/5/2024											1,742	357		458												
30/5/2024											1,712	247		434												
31/5/2024											1,835	387		371												
1/6/2024											1,819			243												
2/6/2024											2,062	2		209												
3/6/2024											2,161	347		514												
4/6/2024											2,278	375		423												
5/6/2024											2,120	346		397												
6/6/2024											2,123	328		411												
7/6/2024											2,129	463		451												
8/6/2024											2,117			218												
9/6/2024											2,335	1		179			Jun 2024 Forecast: Using past 2 weeks figures									
10/6/2024											2,468	371		476												
11/6/2024											2,373	383		375			2023 Jun:		2024 Jun:							
12/6/2024											2,207	377		443			414 cases closed/wd		375 cases closed/wd							
13/6/2024											2,168	353		409			438 new cases/wd		428 new cases/wd							
14/6/2024											2,038	362		377			211 new cases/nwd		208 new cases/nwd							
15/6/2024											2,053	0		183												
16/6/2024											2,236	2		168			2023 Jul:		2024 Jul:							
17/6/2024											2,402	0		239			406 cases closed/wd		NA							
18/6/2024											2,564	372		442			441 new cases/wd									
19/6/2024											2,436	363		449			200 new cases/nwd									
20/6/2024											2,427	387		430												
21/6/2024											2,232	429		406												
22/6/2024											2,209			241												
23/6/2024											2,450			200												
24/6/2024											2,521	453		448												
25/6/2024											2,273	389		397												
26/6/2024											2,231	326		474												
27/6/2024											2,229	334		407												
28/6/2024											2,151	378		334												
29/6/2024											2,107	0		19								Discrepancy Calculation				
30/6/2024											2,124	0		202								Theoretical OB		Actual OB delta		Avg wd discrep (disregard 1-5 Jul)
1/7/2024											2,320	333		679								2,326		6		203
2/7/2024											2,487	369		530								2,666		179		
3/7/2024											2,403	300		451								2,648		245		
4/7/2024											2,335	291		520								2,554		219		
5/7/2024											2,454	315		420								2,564		110		
6/7/2024											2,559	16		199								2,559		0		
7/7/2024											2,742	0		175								2,742		0		
8/7/2024											2,667	324		530								2,917		250		
9/7/2024											2,787	346		460								2,873		86		
10/7/2024											2,871	223		450								2,901		30		
11/7/2024											2,754	215		477								3,098		344		
12/7/2024											2,836	309		373								3,016		180		
13/7/2024											2,900	14		132								2,900		0		
14/7/2024											3,018	0		177								3,018		0		
15/7/2024											2,994	297		480								3,195		201		
16/7/2024											3,076	298		492								3,177		101		
17/7/2024											3,026	281		633								3,270		244		
18/7/2024											3,284	311		443								3,378		94		
19/7/2024											3,088	326		379								3,416		328		
20/7/2024											3,119	8		172								3,141		22		
21/7/2024											3,290	16		152								3,283		-7		
22/7/2024											3,077	375		513			Jul - Aug 2024 Forecast: Using past 2 weeks figures					3,426		349		
23/7/2024											3,120	406		441								3,215		95		
24/7/2024											2,857	338		495			2023 Jul:		2024 Jul (disregard 1-5 Jul):			3,155		298		
25/7/2024											2,822	318		502			406 cases closed/wd		309 cases closed/wd			3,014		192		
26/7/2024											2,817	294		334			441 new cases/wd		465 new cases/wd			3,006		189		
27/7/2024											2,858	0		171			200 new cases/nwd		166 new cases/nwd			2,857		-1		
28/7/2024											3,029	1		151								3,029		0		
29/7/2024											2,907	286		439			2023 Aug:		2024 Aug:			3,179		272		
30/7/2024											2,900	296		442			392 cases closed/wd		NA			3,060		160		
31/7/2024											2,887	368		358			401 new cases/wd					3,046		159		
1/8/2024											2,664	349		411			188 new cases/nwd					2,877		213		
2/8/2024											2,598	387		372								2,726		128		
3/8/2024											2,583	170		174								2,583		0		
4/8/2024											2,587	73		120								2,587		0		
5/8/2024											2,439	298		389								2,634		195		
6/8/2024											2,342	320		380								2,530		188		
7/8/2024											2,320	345		405								2,402		82		
8/8/2024											2,226	309		422								2,380		154		
9/8/2024											2,339	0		147								2,339		0		
10/8/2024											2,486	0		146								2,486		0		
11/8/2024											2,632	0		143								2,632		0		
12/8/2024											2,619	232		421								2,775		156		
13/8/2024											2,714	245		384								2,808		94		
14/8/2024											2,626	304		403								2,853		227		
15/8/2024											2,496	364		422								2,725		229		
16/8/2024											2,441	315		317								2,554		113		
17/8/2024											2,443	1		173								2,443		0		
18/8/2024											2,615	0		148			Aug - Sep 2024 Forecast: Using past 1 month's figures					2,615		0		Avg wd discrep (disregard 1-5 Jul)
19/8/2024											2,627	256		505								2,763		136		178
20/8/2024											2,797	296		424			2023 Aug:		2024 mid-Jul to mid-Aug:			2,876		79		
21/8/2024											2,681	319		509			392 cases closed/wd		320 cases closed/wd			2,925		244		
22/8/2024											2,777	316		396			401 new cases/wd		418 new cases/wd			2,871		94		
23/8/2024											2,650	331		329			188 new cases/nwd		154 new cases/nwd			2,857		207		
24/8/2024											2,648	1		153								2,648		0		
25/8/2024											2,800	0		173			2023 Sep:		2024 Sep:			2,800		0		
26/8/2024											2,750	270		372			371 cases closed/wd		NA			2,973		223		
27/8/2024											2,685	299		386			402 new cases/wd					2,852		167		
28/8/2024											2,588	367		374			173 new cases/nwd					2,772		184		
29/8/2024											2,350	349		306								2,595		245		
30/8/2024											2,097	254		342								2,307		210		
31/8/2024											2,185	0		191								2,185		0		
1/9/2024											2,376	0		164								2,376		0		
2/9/2024											2,407	305		408								2,540		133		
3/9/2024											2,294	309		440								2,510		216		
4/9/2024											2,253	327		381								2,425		172		
5/9/2024											2,061	322		378								2,307		246		
6/9/2024											2,002	325		317			Aug - Sep 2024 Forecast: Using past 1 month's figures					2,117		115		
7/9/2024											1,994	0		189								1,994		0		
8/9/2024											2,183	0		149			2023 Sep:		2024 mid-Aug to mid-Sep:			2,183		0		
9/9/2024											2,184	281		448			389 cases closed/wd		304 cases closed/wd			2,332		148		
10/9/2024											2,256	273		371			392 new cases/wd		384 new cases/wd			2,351		95		
11/9/2024											2,153	279		353			173 new cases/nwd		168 new cases/nwd			2,354		201		
12/9/2024											2,097	269		343								2,227		130		
13/9/2024											1,962	314		325			2023 Oct:					2,171		209		
14/9/2024											1,973	0		191			354 cases closed/wd					1,973		0		
15/9/2024											2,164	0		147			379 new cases/wd					2,164		0		
16/9/2024											2,253	258		385			174 new cases/nwd					2,311		58		Avg WD discrep (1 Aug - 16 Sep)
17/9/2024											2,135	295		277								2,380		245		168
18/9/2024											1,918	277		331								2,117		199		
19/9/2024											1,902	305		334								1,972		70		
20/9/2024											1,712	316		319								1,931		219		
21/9/2024											1,715	0		194								1,715		0		
22/9/2024											1,909	0		164								1,909		0		
23/9/2024											2,018	280		425								2,073		55		
24/9/2024											1,905	299		330								2,163		258		
25/9/2024											1,844	258		363								1,936		92		
26/9/2024											1,884	326		389								1,949		65		
27/9/2024											1,831	292		328								1,947		116		
28/9/2024											1,871	2		124								1,867		-4		
29/9/2024											1,991	2		154								1,993		2		
30/9/2024											2,145	276		433								2,143		-2		
1/10/2024											2,102	311		441			Oct - Nov 2024 Forecast: Using past 1 month's figures					2,302		200		
2/10/2024											2,114	292		382								2,232		118		
3/10/2024											2,083	297		380			2023 Oct:		2024 mid-Sep to mid-Oct:			2,204		121		
4/10/2024											2,023	327		364			354 cases closed/wd		282 cases closed/wd			2,166		143		
5/10/2024											2,060	1		185			379 new cases/wd		371 new cases/wd			2,060		0		
6/10/2024											2,244	0		176			174 new cases/nwd		159 new cases/nwd			2,244		0		
7/10/2024											2,312	238		394								2,420		108		
8/10/2024											2,235	321		477			2023 Nov:					2,468		233		
9/10/2024											2,281	275		403			413 cases closed/wd		18.75	add. MSHL enq/wd		2,391		110		
10/10/2024											2,212	215		359			432 new cases/wd		5.39%	of 371		2,409		197		
11/10/2024											2,262	253		282			177 new cases/nwd		396.97			2,356		94		
12/10/2024											2,291	6		142					173.31			2,291		0		
13/10/2024											2,427	0		129								2,427		0		
14/10/2024											2,435	212		396								2,556		121		Avg WD discrep (18 Sep - 14 Oct)
15/10/2024											2,542	269		442								2,619		77		130
16/10/2024											2,566	238		415								2,715		149		
17/10/2024											2,584	279		377								2,743		159		
18/10/2024											2,556	304		338								2,682		126		
19/10/2024											2,590	0		153								2,590		0		
20/10/2024											2,743	0		129								2,743		0		
21/10/2024											2,772	302		382								2,872		100		
22/10/2024											2,674	368		323								2,852		178		
23/10/2024											2,599	373		344								2,629		30		
24/10/2024											2,463	261		338								2,570		107		
25/10/2024											2,431	320		303								2,540		109		
26/10/2024											2,414	0		153								2,414		0		
27/10/2024											2,567	2		132								2,567		0		
28/10/2024											2,643	337		392								2,697		54		
29/10/2024											2,651	336		376								2,698		47		
30/10/2024											2,586	329		340								2,691		105		
31/10/2024											2,597	5		192								2,597		0		
1/11/2024											2,632	277		299								2,784		152		
2/11/2024											2,654	0		146								2,654		0		
3/11/2024											2,800	22		117								2,800		0		
4/11/2024											2,819	328		357								2,895		76		
5/11/2024											2,742	276		375								2,848		106		
6/11/2024											2,691	281		332								2,841		150		
7/11/2024											2,604	311		350								2,742		138		
8/11/2024											2,523	330		273								2,643		120		
9/11/2024											2,469	1		145								2,466		-3		
10/11/2024											2,613	3		149								2,613		0		
11/11/2024											2,615	245		395								2,759		144		
12/11/2024											2,682	253		303								2,765		83		
13/11/2024											2,593	269		328								2,732		139		
14/11/2024											2,511	289		406								2,652		141		
15/11/2024											2,533	281		325								2,628		95		
16/11/2024											2,577	0		199								2,577		0		
17/11/2024											2,776	21		135								2,776		0		
18/11/2024											2,717	213		393								2,890		173		
19/11/2024											2,813	229		360								2,897		84		
20/11/2024											2,764	322		364								2,944		180		
21/11/2024											2,737	294		316								2,806		69		
22/11/2024											2,562	275		265								2,759		197		
23/11/2024											2,552	3		123								2,552		0		
24/11/2024											2,672	10		117								2,672		0		
25/11/2024											2,680	277		396								2,779		99		
26/11/2024											2,709	318		339								2,799		90		
27/11/2024											2,592	280		328								2,730		138		
28/11/2024											2,504	302		320								2,640		136		
29/11/2024											2,413	291		288								2,522		109		
30/11/2024											2,410	3		142								2,410		0		
1/12/2024											2,549	3		99								2,549		0		
2/12/2024											2,475	268		352								2,645		170		
3/12/2024											2,442	285		341								2,559		117		
4/12/2024											2,303	318		282								2,498		195		
5/12/2024											2,212	257		344								2,267		55		
6/12/2024											2,184	283		280								2,299		115		
7/12/2024											2,181	0		171								2,181		0		
8/12/2024											2,352	2		170								2,352		0		
9/12/2024											2,368	300		369								2,520		152		
10/12/2024											2,357	315		301								2,437		80		
11/12/2024											2,221	285		389								2,343		122		
12/12/2024											2,242	243		436								2,325		83		
13/12/2024											2,296	310		383								2,435		139		
14/12/2024											2,369	0		181								2,369		0		
15/12/2024											2,550	0		149								2,550		0		
16/12/2024											2,594	214		405								2,699		105		
17/12/2024											2,669	213		540								2,785		116		
18/12/2024											2,884	243		402								2,996		112		
19/12/2024											2,948	308		379								3,043		95		
20/12/2024											2,884	276		300								3,019		135		
21/12/2024											2,908	0		166								2,908		0		
22/12/2024											3,074	16		133								3,074		0		
23/12/2024											3,059	270		413								3,191		132		
24/12/2024											3,135	189		236								3,202		67		
25/12/2024											3,182	3		134								3,182		0		
26/12/2024											3,167	275		375								3,313		146		
27/12/2024											3,188	241		317								3,267		79		
28/12/2024											3,264	0		183								3,264		0		
29/12/2024											3,447	23		130								3,447		0		
30/12/2024											3,427	358		404								3,554		127		
31/12/2024											3,258	220		263								3,473		215		
1/1/2025											3,301	0		1391	2025							3,301		0		
2/1/2025											4,446	492		677								4,692		246		
3/1/2025											4,609	778		470								4,631		22		
4/1/2025											4,301	233		257								4,301		0		
5/1/2025											4,325	126		272								4,325		0		
6/1/2025											4,083	294		594								4,471		388		
7/1/2025											4,393	313		463								4,383		-10		
8/1/2025											4,374	385		439								4,543		169		
9/1/2025											4,285	443		418								4,428		143		
10/1/2025											4,057	401		360								4,260		203		
11/1/2025											4,016	50		148								4,016		0		
12/1/2025											4,114	44		133								4,114		0		
13/1/2025											3,933	396		460								4,203		270		
14/1/2025											3,933	371		415								3,997		64		
15/1/2025											3,838	381		435								3,977		139		
16/1/2025											3,738	350		406								3,892		154		
17/1/2025											3,693	347		266								3,794		101		
18/1/2025											3,612	0		141								3,612		0		
19/1/2025											3,753	15		155								3,753		0		
20/1/2025											3,586	359		494								3,893		307		
21/1/2025											3,629	361		498								3,721		92		
22/1/2025											3,622	388		384								3,766		144		
23/1/2025											3,393	399		352								3,618		225		
24/1/2025											3,203	412		252								3,346		143		
25/1/2025											3,043	5		135								3,043		0		
26/1/2025											3,173	2		135								3,173		0		
27/1/2025											2,973	399		289								3,306		333		
28/1/2025											2,717	258		159								2,863		146		
29/1/2025											2,876	25		57								2,618		-258		
30/1/2025											2,933	18		77								2,908		-25		
31/1/2025											2,614	339		234								2,992		378		
1/2/2025											2,509	14		128								2,509		0		
2/2/2025											2,623	40		121								2,623		0		
3/2/2025											2,635	338		402								2,704		69		
4/2/2025											2,630	382		338								2,699		69		
5/2/2025											2,389	330		325								2,586		197		
6/2/2025											2,277	312		325								2,384		107		
7/2/2025											2,223	313		303								2,290		67		
8/2/2025											2,213	0		159								2,213		0		
9/2/2025											2,372	0		163								2,372		0		
10/2/2025											2,425	314		356								2,535		110		
11/2/2025											2,395	326		321								2,467		72		
12/2/2025											2,248	315		248								2,390		142		
13/2/2025											2,094	313		312								2,181		87		
14/2/2025											2,020	296		258								2,093		73		
15/2/2025											1,982	18		146								1,982		0		
16/2/2025											2,110	9		111								2,110		0		
17/2/2025											2,081	349		309								2,212		131		
18/2/2025											1,993	326		299								2,041		48		
19/2/2025											1,861	322		293								1,966		105		
20/2/2025											1,756	306		255								1,832		76		
21/2/2025											1,598	317		224								1,705		107		
22/2/2025											1,505	13		126								1,505		0		
23/2/2025											1,618	11		150								1,618		0		
24/2/2025											1,679	300		352								1,757		78		
25/2/2025											1,645	351		385								1,731		86		
26/2/2025											1,581	315		366								1,679		98		
27/2/2025											1,482	286		388								1,632		150		
28/2/2025											1,521	263		312								1,584		63		
1/3/2025											1,570	0		177								1,570		0		
2/3/2025											1,747	3		155								1,747		0		
3/3/2025											1,735	302		427								1,899		164		
4/3/2025											1,708	292		434								1,860		152		
5/3/2025											1,770	262		410								1,850		80		
6/3/2025											1,754	237		366								1,918		164		
7/3/2025											1,672	281		308								1,883		211		
8/3/2025											1,699	0		159								1,699		0		
9/3/2025											1,858	0		133								1,858		0		
10/3/2025											1,854	303		431								1,991		137		
11/3/2025											1,943	280		408								1,982		39		
12/3/2025											1,911	311		304								2,071		160		
13/3/2025											1,712	342		307								1,904		192		
14/3/2025											1,661	324		275								1,677		16		
15/3/2025											1,612	7		166								1,612		0		
16/3/2025											1,771	0		338								1,771		0		
17/3/2025											2,013	346		375								2,109		96		
18/3/2025											1,820	361		313				Mar - Apr 25 Forecast: Using past 1 month's figures				2,042		222		
19/3/2025											1,718	300		334								1,772		54		
20/3/2025											1,608	372		301				2024 Mar:		2025 mid-Feb to mid-Mar:		1,752		144		
21/3/2025											1,441	241		253				476 cases closed/wd		305 cases closed/wd		1,537		96		
22/3/2025											1,453	10		156				484 new cases/wd		344 new cases/wd		1,453		0		
23/3/2025											1,599	2		120				229 new cases/nwd		147 new cases/nwd		1,599		0		
24/3/2025											1,595	331		294								1,717		122		
25/3/2025											1,480	347		297				2024 Apr:		MSHL REVIEW		1,558		78		
26/3/2025											1,331	355		287				403 cases closed/wd		172 cases for April forecasted by DMT		1,430		99		
27/3/2025											1,191	341		371				413 new cases/wd				1,263		72		
28/3/2025											1,164	323		349				206 new cases/nwd				1,221		57		
29/3/2025											1,190	0		212						ESB CREDITING		1,190		0		
30/3/2025											1,402	0		151						5% - In Dec 24, it was 10.5% increase in new cases for RSB + MB + increased RSTU/Wdl enquiries		1,402		0		
31/3/2025											1,553	0		154								1,553		0		
1/4/2025											1,635	300		426								1,707		72		
2/4/2025											1,538	236		384								1,761		223		
3/4/2025											1,497	349		349								1,686		189		
4/4/2025											1,308	304		263								1,497		189		
5/4/2025											1,267	0		162								1,267		0		
6/4/2025											1,429	0		160								1,429		0		
7/4/2025											1,419	288		367								1,589		170		
8/4/2025											1,388	286		318								1,498		110		
9/4/2025											1,289	318		323								1,420		131		
10/4/2025											1,222	288		275								1,294		72		
11/4/2025											1,089	228		258								1,209		120		
12/4/2025											1,119	0		127								1,119		0		
13/4/2025											1,246	2		130								1,246		0		
14/4/2025											1,291	244		328								1,374		83		
15/4/2025											1,283	212		306								1,375		92		
16/4/2025											1,271	283		340								1,377		106		
17/4/2025											1,238	297		278								1,328		90		
18/4/2025											1,219	1		105								1,219		0		
19/4/2025											1,323	0		95								1,323		0		
20/4/2025											1,418	0		98				Apr - May 25 Forecast: Using past 1 month's figures				1,418		0		
21/4/2025											1,400	271		308								1,516		116		
22/4/2025											1,308	229		265				2024 Apr:		2025 mid-Mar to mid-Apr:		1,437		129		
23/4/2025											1,267	214		287				403 cases closed/wd		302 cases closed/wd		1,344		77		
24/4/2025											1,246	265		258				413 new cases/wd		321 new cases/wd		1,340		94		
25/4/2025											1,168	269		268				206 new cases/nwd		155 new cases/nwd		1,239		71		
26/4/2025											1,167	7		140								1,167		0		
27/4/2025											1,300	8		131				2024 May:				1,300		0		
28/4/2025											1,374	231		347				374 cases closed/wd				1,423		49		
29/4/2025											1,378	231		322				397 new cases/wd				1,490		112		
30/4/2025											1,348	224		303				185 new cases/nwd				1,469		121		
1/5/2025											1,427	0		181								1,427		0		
2/5/2025											1,499	232		297								1,608		109		
3/5/2025											1,564	0		118								1,564		0		
4/5/2025											1,682	0		119								1,682		0		
5/5/2025											1,646	263		273								1,801		155		
6/5/2025											1,368	232		295								1,656		288		
7/5/2025											1,366	254		264								1,431		65		
8/5/2025											1,300	270		271								1,376		76		
9/5/2025											1,225	228		221								1,301		76		
10/5/2025											1,218	0		107								1,218		0		
11/5/2025											1,325	0		69								1,325		0		
12/5/2025											1,394	2		150								1,394		0		
13/5/2025											1,483	245		316								1,542		59		
14/5/2025											1,495	235		299								1,554		59		
15/5/2025											1,463	275		313								1,559		96		
16/5/2025											1,384	272		272				Jun - Jul 25 Forecast: Using past 1 month's figures				1,501		117		
17/5/2025											1,384	8		122								1,384		0		
18/5/2025											1,498	0		129				2024 Jun:		2025 mid-May to mid-Jun:		1,498		0		
19/5/2025											1,521	262		381				376 cases closed/wd		245 cases closed/wd		1,627		106		
20/5/2025											1,524	258		268				424 new cases/wd		293 new cases/wd		1,640		116		
21/5/2025											1,395	244		311				191 new cases/nwd		126 new cases/nwd		1,534		139		
22/5/2025											1,386	248		260								1,462		76		
23/5/2025											1,249	233		254				2024 Jul:				1,398		149		
24/5/2025											1,271	0		117				314 cases closed/wd				1,270		-1		
25/5/2025											1,388	0		97				458 new cases/wd				1,388		0		
26/5/2025											1,408	269		315				166 new cases/nwd				1,485		77		
27/5/2025											1,346	264		307								1,454		108		
28/5/2025											1,271	216		330								1,389		118		
29/5/2025											1,296	288		294								1,385		89		
30/5/2025											1,179	215		257								1,302		123		
31/5/2025											1,221	0		161								1,221		0		
1/6/2025											1,382	0		177								1,382		0		
2/6/2025											1,425	217		322								1,559		134		
3/6/2025											1,369	221		302								1,530		161		
4/6/2025											1,323	263		264								1,450		127		
5/6/2025											1,228	234		254								1,324		96		
6/6/2025											1,174	251		269								1,248		74		
7/6/2025											1,192	0		123								1,192		0		
8/6/2025											1,315	0		130								1,315		0		
9/6/2025											1,337	211		309								1,445		108		
10/6/2025											1,269	238		282								1,435		166		
11/6/2025											1,203	249		260								1,313		110		
12/6/2025											1,116	237		306								1,214		98		
13/6/2025											1,110	215		241								1,185		75		
14/6/2025											1,136	0		172								1,136		0		
15/6/2025											1,308	2		124								1,308		0		
16/6/2025											1,359	246		298								1,430		71		
17/6/2025											1,287	243		295								1,411		124		
18/6/2025											1,217	215		301								1,339		122		
19/6/2025											1,219	231		257								1,303		84		
20/6/2025											1,124	249		219								1,245		121		
21/6/2025											1,094	1		129								1,094		0		
22/6/2025											1,222	1		99								1,222		0		
23/6/2025											1,232	258		275								1,320		88		
24/6/2025											1,173	259		291								1,249		76		
25/6/2025											1,096	233		295								1,205		109		
26/6/2025											1,050	243		201								1,158		108		
27/6/2025											976	209		236								1,008		32		
28/6/2025											1,003	0		89								1,003		0		
29/6/2025											1,092	0		112								1,092		0		
30/6/2025											1,127	263		293								1,204		77		
1/7/2025											1,049	251		299								1,157		108		
2/7/2025											1,012	253		268								1,097		85		
3/7/2025											886	268		279								1,027		141		
4/7/2025											830	235		267								897		67		
5/7/2025											862	0		122								862		0		
6/7/2025											984	2		173								984		0		
7/7/2025											1,075	219		347								1,155		80		
8/7/2025											1,021	202		306								1,203		182		
9/7/2025											1,027	231		336								1,125		98		
10/7/2025											1,047	250		326				Jul - Aug 25 Forecast: Using past 1 month's figures				1,132		85		
11/7/2025											997	233		240								1,123		126		
