		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
25/5/2022											1,482	541	233	603												
26/5/2022											1,311	530	171	541												
27/5/2022											1,151	463	140	537												
28/5/2022											1,085			234												
29/5/2022											1,319			203												
30/5/2022											1,522	487	115	578												
31/5/2022											1,498	560	153	552												
1/6/2022											1,337	539	124	517												
2/6/2022											1,191	476	93	554												
3/6/2022											1,176	445	169	450												
4/6/2022											1,012	1		197												
5/6/2022											1,208	7		176												
6/6/2022											1,377	461	72	535												
7/6/2022											1,379	503	165	529												
8/6/2022											1,240	506	159	460												
9/6/2022											1,035	481	155	495												
10/6/2022											894	350	61	419												
11/6/2022											902	0		184												
12/6/2022											1,086	11		179												
13/6/2022											1,254	499	80	576												
14/6/2022											1,251	431	156	528												
15/6/2022											1,192	486	183	527												
16/6/2022											1,050	427	143	542												
17/6/2022											1,022	342	147	499												
18/6/2022											1,032	0		158												
19/6/2022											1,190	0		163												
20/6/2022											1,353	449	203	467												
21/6/2022											1,168	498	60	555												
22/6/2022											1,165	467	140	529												
23/6/2022											1,087	417	122	478												
24/6/2022											1,026	401	379	442												
25/6/2022											688			226												
26/6/2022											914			185												
27/6/2022											1,099	430	95	528												
28/6/2022											1,102	442	206	500												
29/6/2022											954	487	109	534												
30/6/2022											892	432	124	442												
1/7/2022											968	361	85	429												
2/7/2022											951			178												
3/7/2022											1,129			172												
4/7/2022											1,301	409	56	462												
5/7/2022											1,298	480	121	507												
6/7/2022											1,204	476	40	537												
7/7/2022											1,225	407	121	491												
8/7/2022											1,188	369	146	375												
9/7/2022											1,048			200												
10/7/2022											1,248			66												
11/7/2022											1,314			105												
12/7/2022											1,419	407	-116	533												
13/7/2022											1,661	503	146	488												
14/7/2022											1,500	443	63	432												
15/7/2022											1,426	417	136	456												
16/7/2022											1,329			193												
17/7/2022											1,522			196												
18/7/2022											1,718	421	41	532												
19/7/2022											1,788	410	288	496												
20/7/2022											1,586	429	38	460												
21/7/2022											1,579	453	97	569												
22/7/2022											1,598	371	486	503												
23/7/2022											1,244			217												
24/7/2022											1,461			181												
25/7/2022											1,642	524	-142	623												
26/7/2022											1,883	482	10	546												
27/7/2022											1,937	478	153	510												
28/7/2022											1,816	441	129	486												
29/7/2022											1,732	346	196	435												
30/7/2022											1,625	0		211												
31/7/2022											1,836	0		203												
1/8/2022											2,039	474	20	549												
2/8/2022											2,094	460	184	484												
3/8/2022											1,934	465	195	477												
4/8/2022											1,751	488	128	456												
5/8/2022											1,591	393	97	427												
6/8/2022											1,528	1		177												
7/8/2022											1,704	0		147												
8/8/2022											1,851	417	-82	419												
9/8/2022											1,935	0	164	172												
10/8/2022											1,943	444	179	431												
11/8/2022											1,751	406	132	480												
12/8/2022											1,693	261	103	436												
13/8/2022											1,765			204												
14/8/2022											1,969			182												
15/8/2022											2,151	408	102	479												
16/8/2022											2,120	374	106	486												
17/8/2022											2,126	379	117	462												
18/8/2022											2,092	400	149	486												
19/8/2022											2,029	360	161	402												
20/8/2022											1,910			176												
21/8/2022											2,086			160												
22/8/2022											2,246	399	71	441												
23/8/2022											2,217	438	198	413												
24/8/2022											1,994	428	174	495												
25/8/2022											1,887	396	151	550												
26/8/2022											1,890	336	72	479												
27/8/2022											1,961	0		198												
28/8/2022											2,159	0		160												
29/8/2022											2,319	382	149	491												
30/8/2022											2,279	448	153	492												
31/8/2022											2,170	389	193	410												
1/9/2022											1,998	413	144	530												
2/9/2022											1,971	366	69	477												
3/9/2022											2,013			203												
4/9/2022											2,216			152												
5/9/2022											2,368	344	116	563												
6/9/2022											2,471	350	69	502												
7/9/2022											2,554	429	137	517												
8/9/2022											2,505	485	221	522												
9/9/2022											2,321	351	90	404												
10/9/2022											2,284	0		184												
11/9/2022											2,468	0		43												
12/9/2022											2,511	435	40	524												
13/9/2022											2,560	414	104	496												
14/9/2022											2,538	436	183	474												
15/9/2022											2,393	378	64	494												
16/9/2022											2,445	430	110	407												
17/9/2022											2,312	6	0	166												
18/9/2022											2,472	60	0	152												
19/9/2022											2,532	416	231	513												
20/9/2022											2,398	440	222	489												
21/9/2022											2,225	463	111	554												
22/9/2022											2,205	421	56	440												
23/9/2022											2,168	418	109	427												
24/9/2022											2,068	0		143												
25/9/2022											2,211	0		142												
26/9/2022											2,353	414	108	506												
27/9/2022											2,337	482	74	523												
28/9/2022											2,304	506	36	501												
29/9/2022											2,263	450	100	519												
30/9/2022											2,275	384	100	495												
1/10/2022											2,090	2		219												
2/10/2022											2,307	0		189												
3/10/2022											2,496	418	-7	541												
4/10/2022											2,626	430	83	466												
5/10/2022											2,579	450	145	447												
6/10/2022											2,431	452	70	528												
7/10/2022											2,437	503	257	485												
8/10/2022											2,162	19		186												
9/10/2022											2,329	0	-196	169												
